county,city,totalcountconfirmed,totalcountdeaths
Orange,Aliso Viejo ,231,1
Orange,Anaheim ,5047,123
Orange,Buena Park ,808,7
Orange,Costa Mesa ,931,6
Orange,Coto de Caza ,17,0
Orange,Cypress ,281,6
Orange,Dana Point ,153,0
Orange,Fountain Valley ,296,8
Orange,Fullerton ,1364,23
Orange,Garden Grove ,1524,14
Orange,Huntington Beach ,1433,43
Orange,Ladera Ranch ,99,0
Orange,Laguna Beach ,112,0
Orange,Laguna Hills ,182,5
Orange,Laguna Niguel ,226,0
Orange,Laguna Woods ,34,0
Orange,Lake Forest ,460,1
Orange,Los Alamitos ,142,16
Orange,Midway City ,57,0
Orange,Mission Viejo ,480,3
Orange,Newport Beach ,708,3
Orange,Orange ,1355,17
Orange,Placentia ,525,4
Orange,Rancho Mission Viejo ,40,0
Orange,Rancho Santa Margarita ,203,0
Orange,Rossmoor ,26,0
Orange,San Clemente ,257,3
Orange,San Juan Capistrano ,208,3
Orange,Santa Ana ,5520,129
Orange,Seal Beach ,163,19
Orange,Silverado ,37,0
Orange,Stanton ,345,4
Orange,Trabuco Canyon ,122,0
Orange,Tustin ,670,7
Orange,Villa Park ,35,0
Orange,Westminster ,540,12
Orange,Yorba Linda ,394,4
Los Angeles,Agoura Hills,231,1
Los Angeles,Alhambra,5047,14
Los Angeles,Artesia,808,3
Los Angeles,Avalon,931,0
Los Angeles,Azusa,17,9
Los Angeles,Baldwin Park,281,40
Los Angeles,Bell,153,26
Los Angeles,Bell Gardens,296,13
Los Angeles,Bellflower,1364,39
Los Angeles,Beverly Hills,1524,8
Los Angeles,Bradbury,1433,0
Los Angeles,Cerritos,99,7
Los Angeles,Claremont,112,3
Los Angeles,Commerce,182,2
Los Angeles,Compton,226,30
Los Angeles,Covina,34,11
Los Angeles,Cudahy,460,11
Los Angeles,Culver City,142,27
Los Angeles,Diamond Bar,57,4
Los Angeles,Downey,480,60
Los Angeles,Duarte,708,23
Los Angeles,El Monte,1355,76
Los Angeles,El Segundo,525,0
Los Angeles,Gardena,40,34
Los Angeles,Glendale,203,122
Los Angeles,Glendora,26,23
Los Angeles,Hawaiian Gardens,257,1
Los Angeles,Hawthorne,208,28
Los Angeles,Hermosa Beach,5520,2
Los Angeles,Hidden Hills,163,0
Los Angeles,Huntington Park,37,30
Los Angeles,Industry,345,2
Los Angeles,Inglewood,122,71
Los Angeles,Irwindale,670,0
Los Angeles,La Canada Flintridge,35,6
Los Angeles,La Habra Heights,540,0
Los Angeles,La Mirada,394,21
Los Angeles,La Puente,817,7
Los Angeles,La Verne,229,3
Los Angeles,Lakewood,743,7
Los Angeles,Lancaster,1659,23
Los Angeles,Lawndale,362,8
Los Angeles,Lomita,149,7
Los Angeles,Lynwood,1980,69
Los Angeles,Malibu,71,2
Los Angeles,Manhattan Beach,222,4
Los Angeles,Maywood,823,24
Los Angeles,Monrovia,437,31
Los Angeles,Montebello,1341,32
Los Angeles,Monterey Park,499,12
Los Angeles,Norwalk,1891,41
Los Angeles,Palmdale,1900,26
Los Angeles,Palos Verdes Estates,64,2
Los Angeles,Paramount,1396,15
Los Angeles,Pico Rivera,1465,48
Los Angeles,Pomona,2605,42
Los Angeles,Rancho Palos Verdes,194,12
Los Angeles,Redondo Beach,339,9
Los Angeles,Rolling Hills,4,0
Los Angeles,Rolling Hills Estates,30,2
Los Angeles,Rosemead,447,11
Los Angeles,San Dimas,288,2
Los Angeles,San Fernando,454,12
Los Angeles,San Gabriel,338,26
Los Angeles,San Marino,42,1
Los Angeles,Santa Clarita,1761,33
Los Angeles,Santa Fe Springs,307,2
Los Angeles,Santa Monica,547,35
Los Angeles,Sierra Madre,45,3
Los Angeles,Signal Hill,151,0
Los Angeles,South El Monte,440,12
Los Angeles,South Gate,2683,41
Los Angeles,South Pasadena,199,23
Los Angeles,Vernon,16,0
Los Angeles,Walnut,160,1
Los Angeles,West Covina,1704,21
Los Angeles,West Hollywood,373,4
Los Angeles,Westlake Village,17,0
Los Angeles,Whittier,1253,14
Riverside,County Jails,231,2
Riverside,State Prison,5047,1
Riverside,Banning,808,10
Riverside,Beaumont,931,12
Riverside,Blythe,17,3
Riverside,Calimesa,281,1
Riverside,Canyon Lake,153,0
Riverside,Cathedral City,296,15
Riverside,Coachella,1364,15
Riverside,Corona,1524,20
Riverside,Desert Hot Springs,1433,6
Riverside,Indio,99,46
Riverside,Jurupa Valley,112,30
Riverside,La Quinta,182,14
Riverside,Lake Elsinore,226,10
Riverside,Menifee,34,9
Riverside,Moreno Valley,460,41
Riverside,Murrieta,142,13
Riverside,Norco,57,2
Riverside,Palm Desert,480,34
Riverside,Palm Springs,708,19
Riverside,Perris,1355,20
Riverside,Rancho Mirage,525,12
Riverside,Riverside,40,142
Riverside,San Jacinto,203,8
Riverside,Temecula,26,1
Riverside,Wildomar,257,5
Riverside,Anza,808,0
Riverside,Bermuda Dunes,931,1
Riverside,Cabazon,17,1
Riverside,Cherry Valley,281,2
Riverside,Coronita,153,1
Riverside,Desert Edge,296,2
Riverside,Desert Palms,1364,2
Riverside,East Hemet,1524,2
Riverside,El Cerrito,1433,0
Riverside,Good Hope,99,1
Riverside,Green Acres,112,0
Riverside,Home Gardens,182,0
Riverside,Homeland,226,0
Riverside,Idyllwild-Pine Cove,34,0
Riverside,Lake Mathews,460,4
Riverside,Lakeland Village,142,1
Riverside,Lakeview,57,0
Riverside,Mead Valley,480,4
Riverside,Meadowbrook,708,0
