county,city,totalcountconfirmed,totalcountdeaths
Los Angeles,Agoura Hills,231,1
Los Angeles,Alhambra,4967,14
Los Angeles,Artesia,795,3
Los Angeles,Avalon,914,0
Los Angeles,Azusa,17,9
Los Angeles,Baldwin Park,278,40
Los Angeles,Bell,149,26
Los Angeles,Bell Gardens,293,13
Los Angeles,Bellflower,1337,39
Los Angeles,Beverly Hills,1499,8
Los Angeles,Bradbury,1417,0
Los Angeles,Cerritos,98,7
Los Angeles,Claremont,108,3
Los Angeles,Commerce,178,2
Los Angeles,Compton,223,30
Los Angeles,Covina,34,11
Los Angeles,Cudahy,445,11
Los Angeles,Culver City,141,27
Los Angeles,Diamond Bar,56,4
Los Angeles,Downey,469,60
Los Angeles,Duarte,689,23
Los Angeles,El Monte,1337,76
Los Angeles,El Segundo,523,0
Los Angeles,Gardena,40,34
Los Angeles,Glendale,196,122
Los Angeles,Glendora,26,23
Los Angeles,Hawaiian Gardens,254,1
Los Angeles,Hawthorne,197,28
Los Angeles,Hermosa Beach,5419,2
Los Angeles,Hidden Hills,161,0
Los Angeles,Huntington Park,18,30
Los Angeles,Industry,341,2
Los Angeles,Inglewood,119,71
Los Angeles,Irwindale,656,0
Los Angeles,La Canada Flintridge,35,6
Los Angeles,La Habra Heights,535,0
Los Angeles,La Mirada,383,21
Los Angeles,La Puente,817,7
Los Angeles,La Verne,229,3
Los Angeles,Lakewood,743,7
Los Angeles,Lancaster,1659,23
Los Angeles,Lawndale,362,8
Los Angeles,Lomita,149,7
Los Angeles,Lynwood,1980,69
Los Angeles,Malibu,71,2
Los Angeles,Manhattan Beach,222,4
Los Angeles,Maywood,823,24
Los Angeles,Monrovia,437,31
Los Angeles,Montebello,1341,32
Los Angeles,Monterey Park,499,12
Los Angeles,Norwalk,1891,41
Los Angeles,Palmdale,1900,26
Los Angeles,Palos Verdes Estates,64,2
Los Angeles,Paramount,1396,15
Los Angeles,Pico Rivera,1465,48
Los Angeles,Pomona,2605,42
Los Angeles,Rancho Palos Verdes,194,12
Los Angeles,Redondo Beach,339,9
Los Angeles,Rolling Hills,4,0
Los Angeles,Rolling Hills Estates,30,2
Los Angeles,Rosemead,447,11
Los Angeles,San Dimas,288,2
Los Angeles,San Fernando,454,12
Los Angeles,San Gabriel,338,26
Los Angeles,San Marino,42,1
Los Angeles,Santa Clarita,1761,33
Los Angeles,Santa Fe Springs,307,2
Los Angeles,Santa Monica,547,35
Los Angeles,Sierra Madre,45,3
Los Angeles,Signal Hill,151,0
Los Angeles,South El Monte,440,12
Los Angeles,South Gate,2683,41
Los Angeles,South Pasadena,199,23
Los Angeles,Vernon,16,0
Los Angeles,Walnut,160,1
Los Angeles,West Covina,1704,21
Los Angeles,West Hollywood,373,4
Los Angeles,Westlake Village,17,0
Los Angeles,Whittier,1253,14
