county,city,totalcountconfirmed,totalcountdeaths
Orange,Aliso Viejo ,231,1
Orange,Anaheim ,4967,123
Orange,Buena Park ,795,7
Orange,Costa Mesa ,914,5
Orange,Coto de Caza ,17,0
Orange,Cypress ,278,6
Orange,Dana Point ,149,0
Orange,Fountain Valley ,293,8
Orange,Fullerton ,1337,23
Orange,Garden Grove ,1499,14
Orange,Huntington Beach ,1417,43
Orange,Ladera Ranch ,98,0
Orange,Laguna Beach ,108,0
Orange,Laguna Hills ,178,5
Orange,Laguna Niguel ,223,0
Orange,Laguna Woods ,34,0
Orange,Lake Forest ,445,1
Orange,Los Alamitos ,141,16
Orange,Midway City ,56,0
Orange,Mission Viejo ,469,3
Orange,Newport Beach ,689,3
Orange,Orange ,1337,17
Orange,Placentia ,523,4
Orange,Rancho Mission Viejo ,40,0
Orange,Rancho Santa Margarita ,196,0
Orange,Rossmoor ,26,0
Orange,San Clemente ,254,3
Orange,San Juan Capistrano ,197,3
Orange,Santa Ana ,5419,128
Orange,Seal Beach ,161,19
Orange,Silverado ,18,0
Orange,Stanton ,341,4
Orange,Trabuco Canyon ,119,0
Orange,Tustin ,656,7
Orange,Villa Park ,35,0
Orange,Westminster ,535,12
Orange,Yorba Linda ,383,4
