county,city,totalcountconfirmed,totalcountdeaths
Riverside,County Jails,231,2
Riverside,State Prison,4967,1
Riverside,Banning,795,10
Riverside,Beaumont,914,12
Riverside,Blythe,17,3
Riverside,Calimesa,278,1
Riverside,Canyon Lake,149,0
Riverside,Cathedral City,293,15
Riverside,Coachella,1337,15
Riverside,Corona,1499,20
Riverside,Desert Hot Springs,1417,6
Riverside,Indio,98,46
Riverside,Jurupa Valley,108,30
Riverside,La Quinta,178,14
Riverside,Lake Elsinore,223,10
Riverside,Menifee,34,9
Riverside,Moreno Valley,445,41
Riverside,Murrieta,141,13
Riverside,Norco,56,2
Riverside,Palm Desert,469,34
Riverside,Palm Springs,689,19
Riverside,Perris,1337,20
Riverside,Rancho Mirage,523,12
Riverside,Riverside,40,142
Riverside,San Jacinto,196,8
Riverside,Temecula,26,1
Riverside,Wildomar,254,5
Riverside,Anza,795,0
Riverside,Bermuda Dunes,914,1
Riverside,Cabazon,17,1
Riverside,Cherry Valley,278,2
Riverside,Coronita,149,1
Riverside,Desert Edge,293,2
Riverside,Desert Palms,1337,2
Riverside,East Hemet,1499,2
Riverside,El Cerrito,1417,0
Riverside,Good Hope,98,1
Riverside,Green Acres,108,0
Riverside,Home Gardens,178,0
Riverside,Homeland,223,0
Riverside,Idyllwild-Pine Cove,34,0
Riverside,Lake Mathews,445,4
Riverside,Lakeland Village,141,1
Riverside,Lakeview,56,0
Riverside,Mead Valley,469,4
Riverside,Meadowbrook,689,0
Riverside,Mecca,1337,6
Riverside,North Shore,523,1
Riverside,Nuevo,40,1
Riverside,Oasis,196,1
Riverside,Romoland,26,1
Riverside,Sky Valley,254,0
Riverside,Temescal Valley,197,0
Riverside,Thousand Palms,5419,0
Riverside,Valle Vista,161,0
Riverside,Vista Santa Rosa,18,1
Riverside,Winchester,341,0
Riverside,Woodcrest,119,4
