county,city,totalcountconfirmed,totalcountdeaths
San Bernardino,Adelanto,231,5
San Bernardino,Angelus Oaks,4967,0
San Bernardino,Argus,795,0
San Bernardino,Arrowbear,914,0
San Bernardino,Baker,17,0
San Bernardino,Baldy Mesa,278,0
San Bernardino,Barstow,149,2
San Bernardino,Big Bear City,293,0
San Bernardino,Big Bear Lake,1337,0
San Bernardino,Big River,1499,0
San Bernardino,Bloomington,1417,5
San Bernardino,Chino,98,0
San Bernardino,Chino Hills,108,4
San Bernardino,Colton,178,20
San Bernardino,Crestline,223,2
San Bernardino,Crestmore,34,0
San Bernardino,Daggett,445,0
San Bernardino,Devore,141,0
San Bernardino,El Mirage,56,0
San Bernardino,Fawnskin,469,0
San Bernardino,Fontana,689,24
San Bernardino,Forest Falls,1337,0
San Bernardino,Fort Irwin,523,0
San Bernardino,Grand Terrace,40,6
San Bernardino,Green Valley Lake,196,0
San Bernardino,Havasu,26,0
San Bernardino,Helendale,254,0
San Bernardino,Hesperia,197,3
San Bernardino,Highland,5419,7
San Bernardino,Hinkley,161,0
San Bernardino,Johnson Valley,18,0
San Bernardino,Joshua Tree,341,2
San Bernardino,Lake Arrowhead,119,0
San Bernardino,Landers,656,0
San Bernardino,Lenwood,35,0
San Bernardino,Loma Linda,535,1
San Bernardino,Lucerne Valley,383,0
San Bernardino,Lytle Creek,817,0
San Bernardino,Mentone,229,2
San Bernardino,Montclair,743,8
San Bernardino,Morongo Valley,1659,0
San Bernardino,Mt Baldy,362,0
San Bernardino,Muscoy,149,0
San Bernardino,Needles,1980,0
San Bernardino,Newberry Springs,71,0
San Bernardino,Oak Glen,222,0
San Bernardino,Oak Hills,823,1
San Bernardino,Ontario,437,39
San Bernardino,Oro Grande,1341,0
San Bernardino,Phelan,499,0
San Bernardino,Piñon Hills,1891,0
San Bernardino,Pioneertown,1900,0
San Bernardino,Rancho Cucamonga,64,10
San Bernardino,Redlands,1396,52
San Bernardino,Rialto,1465,14
San Bernardino,Rimforest,2605,0
San Bernardino,Running Springs,194,0
San Bernardino,San Antonio Heights,339,0
San Bernardino,San Bernardino,4,28
San Bernardino,Spring Valley Lake,30,0
San Bernardino,Sugarloaf,447,0
San Bernardino,Trona,288,0
San Bernardino,Twentynine Palms,454,0
San Bernardino,TN Palms Marine Base,338,0
San Bernardino,Twin Peaks,42,0
San Bernardino,Upland,1761,14
San Bernardino,Valley of Enchantment,307,0
San Bernardino,Victorville,547,8
San Bernardino,Wonder Valley,45,0
San Bernardino,Wrightwood,151,0
San Bernardino,Yermo,440,0
San Bernardino,Yucaipa,2683,26
San Bernardino,Yucca Valley,199,1
