county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Santa Barbara,2.0,0.0,2,0,2020-03-18
Santa Barbara,5.0,0.0,3,0,2020-03-19
Santa Barbara,7.0,0.0,2,0,2020-03-20
Santa Barbara,8.0,0.0,1,0,2020-03-21
Santa Barbara,16.0,0.0,8,0,2020-03-22
Santa Barbara,18.0,0.0,2,0,2020-03-23
Santa Barbara,20.0,0.0,2,0,2020-03-24
Santa Barbara,25.0,0.0,5,0,2020-03-25
Santa Barbara,33.0,0.0,8,0,2020-03-26
Santa Barbara,37.0,0.0,4,0,2020-03-27
Santa Barbara,49.0,0.0,12,0,2020-03-28
Santa Barbara,52.0,0.0,3,0,2020-03-29
Santa Barbara,79.0,0.0,27,0,2020-03-30
Santa Barbara,89.0,0.0,10,0,2020-03-31
Santa Barbara,103.0,0.0,14,0,2020-04-01
Santa Barbara,125.0,1.0,22,1,2020-04-02
Santa Barbara,154.0,1.0,29,0,2020-04-03
Santa Barbara,167.0,1.0,13,0,2020-04-04
Santa Barbara,171.0,1.0,4,0,2020-04-05
Santa Barbara,189.0,2.0,18,1,2020-04-06
Santa Barbara,209.0,2.0,20,0,2020-04-07
Santa Barbara,221.0,2.0,12,0,2020-04-08
Santa Barbara,232.0,2.0,11,0,2020-04-09
Santa Barbara,254.0,2.0,22,0,2020-04-10
Santa Barbara,258.0,2.0,4,0,2020-04-11
Santa Barbara,261.0,2.0,3,0,2020-04-12
Santa Barbara,271.0,2.0,10,0,2020-04-13
Santa Barbara,292.0,2.0,21,0,2020-04-14
Santa Barbara,317.0,2.0,25,0,2020-04-15
Santa Barbara,331.0,2.0,14,0,2020-04-16
Santa Barbara,349.0,3.0,18,1,2020-04-17
Santa Barbara,372.0,4.0,23,1,2020-04-18
Santa Barbara,377.0,4.0,5,0,2020-04-19
Santa Barbara,388.0,4.0,11,0,2020-04-20
Santa Barbara,414.0,5.0,26,1,2020-04-21
Santa Barbara,437.0,5.0,23,0,2020-04-22
Santa Barbara,445.0,5.0,8,0,2020-04-23
Santa Barbara,450.0,6.0,5,1,2020-04-24
Santa Barbara,457.0,7.0,7,1,2020-04-25
Santa Barbara,464.0,7.0,7,0,2020-04-26
Santa Barbara,466.0,7.0,2,0,2020-04-27
Santa Barbara,469.0,7.0,3,0,2020-04-28
Santa Barbara,477.0,8.0,8,1,2020-04-29
Santa Barbara,490.0,8.0,13,0,2020-04-30
Santa Barbara,499.0,8.0,9,0,2020-05-01
Santa Barbara,506.0,8.0,7,0,2020-05-02
Santa Barbara,512.0,8.0,6,0,2020-05-03
Santa Barbara,524.0,9.0,12,1,2020-05-04
Santa Barbara,541.0,10.0,17,1,2020-05-05
Santa Barbara,565.0,11.0,24,1,2020-05-06
Santa Barbara,720.0,11.0,155,0,2020-05-07
Santa Barbara,1054.0,11.0,334,0,2020-05-08
Santa Barbara,1245.0,11.0,191,0,2020-05-09
Santa Barbara,1323.0,11.0,78,0,2020-05-10
Santa Barbara,1372.0,11.0,49,0,2020-05-11
Santa Barbara,1377.0,11.0,5,0,2020-05-12
Santa Barbara,1382.0,11.0,5,0,2020-05-13
Santa Barbara,1395.0,11.0,13,0,2020-05-14
Santa Barbara,1409.0,11.0,14,0,2020-05-15
Santa Barbara,1422.0,11.0,13,0,2020-05-16
Santa Barbara,1457.0,11.0,35,0,2020-05-17
Santa Barbara,1501.0,11.0,44,0,2020-05-18
Santa Barbara,1521.0,11.0,20,0,2020-05-19
Santa Barbara,1524.0,11.0,3,0,2020-05-20
Santa Barbara,1541.0,11.0,17,0,2020-05-21
Santa Barbara,1554.0,12.0,13,1,2020-05-22
Santa Barbara,1566.0,12.0,12,0,2020-05-23
Santa Barbara,1573.0,12.0,7,0,2020-05-24
Santa Barbara,1590.0,12.0,17,0,2020-05-25
Santa Barbara,1590.0,12.0,0,0,2020-05-26
Santa Barbara,1629.0,12.0,39,0,2020-05-27
Santa Barbara,1642.0,12.0,13,0,2020-05-28
Santa Barbara,1656.0,12.0,14,0,2020-05-29
Santa Barbara,1660.0,12.0,4,0,2020-05-30
Santa Barbara,1662.0,12.0,2,0,2020-05-31
Santa Barbara,1671.0,12.0,9,0,2020-06-01
Santa Barbara,1703.0,14.0,32,2,2020-06-02
Santa Barbara,1722.0,14.0,19,0,2020-06-03
Santa Barbara,1750.0,14.0,28,0,2020-06-04
Santa Barbara,1795.0,15.0,45,1,2020-06-05
Santa Barbara,1815.0,15.0,20,0,2020-06-06
Santa Barbara,1818.0,15.0,3,0,2020-06-07
Santa Barbara,1824.0,15.0,6,0,2020-06-08
Santa Barbara,1854.0,15.0,30,0,2020-06-09
Santa Barbara,1878.0,16.0,24,1,2020-06-10
Santa Barbara,1895.0,16.0,17,0,2020-06-11
Santa Barbara,1969.0,16.0,74,0,2020-06-12
Santa Barbara,1999.0,18.0,30,2,2020-06-13
Santa Barbara,2049.0,18.0,50,0,2020-06-14
Santa Barbara,2054.0,18.0,5,0,2020-06-15
Santa Barbara,2090.0,21.0,36,3,2020-06-16
Santa Barbara,2147.0,22.0,57,1,2020-06-17
Santa Barbara,2201.0,22.0,54,0,2020-06-18
Santa Barbara,2284.0,22.0,83,0,2020-06-19
Santa Barbara,2358.0,22.0,74,0,2020-06-20
Santa Barbara,2430.0,22.0,72,0,2020-06-21
Santa Barbara,2447.0,27.0,17,5,2020-06-22
Santa Barbara,2498.0,27.0,51,0,2020-06-23
Santa Barbara,2569.0,27.0,71,0,2020-06-24
Santa Barbara,2633.0,28.0,64,1,2020-06-25
Santa Barbara,2802.0,28.0,169,0,2020-06-26
Santa Barbara,2857.0,28.0,55,0,2020-06-27
Santa Barbara,2945.0,28.0,88,0,2020-06-28
Santa Barbara,3092.0,29.0,147,1,2020-06-29
Santa Barbara,3210.0,29.0,118,0,2020-06-30
Santa Barbara,3286.0,29.0,76,0,2020-07-01
Santa Barbara,3385.0,29.0,99,0,2020-07-02
